"Start.Date","Month","Year","Report.Type","Security.Type","Avg.Trade.Size","PCT.of.CUSIPs","PCT.of.Par.Traded","PCT.of.Trade.Count","period"
"2000-07-01","July",2000,"Interdealer Only","Long Variable",473625.954198473,0.00143847636583331,0.00239290630648538,0.00129837950344417,"Pre-Crisis"
"2000-07-01","July",2000,"Interdealer Only","Other",486629.62962963,0.00097816392876665,0.00152020610657965,0.000802814807473116,"Pre-Crisis"
"2000-07-01","July",2000,"Interdealer Only","Short Note",310384.615384615,0.00100693345608332,0.000622475748032462,0.000515387283809901,"Pre-Crisis"
"2000-07-01","July",2000,"Interdealer Only","Short Variable",1000750.7788162,0.00566759688138324,0.0123893885857309,0.0031815253481342,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Bond",172703.391137872,0.922192406508707,0.378756267004501,0.92429757259944,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","CP",8558747.69230769,0.00750214102198116,0.0398823142008632,0.0019639163109796,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Long Note",1333201.52867884,0.0119897230944904,0.0296606728973359,0.00937644146421543,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Long Variable",426752.691086691,0.00148444190693691,0.00167042000068718,0.00164968970122287,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Other",2730924.36150845,0.00586925492435056,0.0200738889954542,0.0030979520884991,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Short Note",1950520.47184987,0.00156437339423351,0.00347716144752875,0.000751323881020914,"Pre-Crisis"
"2000-07-01","July",2000,"Total Customer and Interdealer","Short Variable",3769562.69534271,0.0493976591493006,0.52647927545363,0.0588631039546225,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","Bond",120174.6000944,0.924133523205095,0.317575887459614,0.925002120181299,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","CP",8536445.82933845,0.00914972584461164,0.0798955756955102,0.00327607273321209,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","Long Note",1828096.67471334,0.0123790408485922,0.0543641993158584,0.0104093049260449,"Pre-Crisis"
